dataset,activation,run,continuous_forward_profile_time,continuous_cpu_time,continuous_performance_metric,piecewise_forward_profile_time,piecewise_cpu_time,piecewise_performance_metric
synthetic,tanh,1,5.5674814,15.914172700000002,0.0001866320874081,9.9604167,23.3612317,0.0001867244554122
synthetic,tanh,2,5.4181951,15.7371936,0.0001858051954257,11.1504638,24.9858289,0.0001860269164369
synthetic,tanh,3,5.5780456,15.911964200000002,0.0001863541458749,12.3310111,25.1009496,0.0001865399672954
synthetic,sigmoid,1,6.7601906000000005,19.4815159,0.0007773060873146,13.6999398,27.1203678,0.0008084020644891
synthetic,sigmoid,2,5.2179984,15.796944000000002,5.290886137373991e-05,13.9972462,28.403806000000003,4.923227918025459e-05
synthetic,sigmoid,3,6.0479218,16.2179216,0.000712267447801,13.973857700000002,27.3301742,0.0008024035935286
synthetic,sigmoid,4,5.1907929,15.6381217,0.0005453532373783,12.6936893,25.812604500000003,0.0004849175406016
synthetic,sigmoid,5,5.123730200000001,15.5193316,0.0008194115374704,14.0879541,27.763966000000003,0.0008681653788923
synthetic,sigmoid,6,5.5611762,15.8389181,0.0007151489490818,18.0319173,31.836770100000003,0.0010591759833129
synthetic,sigmoid,7,6.6752554,16.694789,0.0006793870857499,12.612160800000002,25.2653987,0.0007058915541867
mnist_digits,sigmoid,1,10.9159607,119.7894999,0.8505666666666667,22.491807100000003,120.8675309,0.8473166666666667
mnist_digits,sigmoid,2,13.4181178,174.6593532,0.8491333333333333,17.175591,176.9475983,0.8483333333333334
mnist_digits,tanh,1,9.0472174,171.0956955,0.9356166666666668,17.382492300000003,180.8885004,0.93275
mnist_digits,sigmoid,3,13.5695014,203.0968736,0.2193666666666666,37.4116118,235.7195278,0.2215333333333333
mnist_digits,sigmoid,4,13.7414482,128.3505646,0.2224833333333333,26.6133257,147.0607996,0.2252166666666666
mnist_digits,sigmoid,5,0.8356301,22.1678234,0.1123666666666666,1.4821121000000002,12.3157784,0.1123666666666666
mnist_digits,tanh,2,8.0815432,116.9229784,0.9349666666666666,9.4355974,115.2753445,0.9321333333333334
mnist_digits,tanh,3,10.7722805,120.94680210000001,0.9345166666666667,15.4949714,214.6087583,0.9340666666666667
